Funding_Programme,County,Project_Name,Units,Approved_Housing_Body,Capital_Appraisal_Q,Capital_Appraisal_Year,Pre_Planning_Q,Pre_Planning_Year,Pre_Tender_Design_Q,Pre_Tender_Design_Year,Approval_Q,Approval_Year,On_Site_Q,On_Site_Year,Completed_Q,Completed_Year
Ship Construction Turnkey,Carlow,"Carrigbrook, Tullow Road, Carlow",6,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction Turnkey,Carlow,"Carrigbrook, Tullow Road, Carlow",6,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction Turnkey,Carlow,"Carrigbrook, Tullow Road, Carlow",8,N/A,,0,,0,,0,,0,Q4,2017,,0
Ship Construction Turnkey,Carlow,"Carrigbrook, Tullow Road, Carlow",12,N/A,,0,,0,,0,,0,Q4,2017,,0
Ship Construction Turnkey,Carlow,"Carrigbrook, Tullow Road, Carlow",12,N/A,,0,,0,,0,,0,Q4,2017,,0
Ship Construction Turnkey,Carlow,"Carrigbrook, Tullow Road, Carlow",19,N/A,,0,,0,,0,,0,Q4,2017,,0
Ship Construction,Carlow,"Father Flood Avenue, Rathvilly",8,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Carlow,"St. Oliver's Crescent, Myshall",4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Carlow,St. Mary's Court & Dereen Heights,6,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Carlow,"Crowsgrove, Kildavin",1,N/A,,0,,0,,0,,0,,0,Q1,2020
Ship Construction,Carlow,Ardattin,6,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Carlow,"Brownbog, Hackettstown",1,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Carlow,"Spahill, Borris, Co. Carlow",1,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Carlow,"Rural Ballypierce, Kildavin",1,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction,Carlow,"The Laurels, Carlow Town",5,N/A,,0,,0,,0,,0,,0,Q2,2018
Ship Construction,Carlow,"Ard na Greine, Tullow",16,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Carlow,"Dublin Road, Tullow",21,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction,Carlow,Bagenalstown,20,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction,Carlow,Bilboa,2,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction,Carlow,"Slate Row, Hacketstown",4,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Carlow,"Mount Leinster Park, Carlow",4,N/A,,0,,0,,0,,0,,0,Q4,2017
